Volcano Name,Area of Activity,VEI,Start Year,Start Month,Start Day,Evidence Method (dating),End Year,End Month,End Day,Latitude,Longitude
Merapi,,1,1971,1,16,,1971,7,26,-7.54,110.446
Karangetang,,2,1970,11,27,Historical Observations,1971,3,16,2.781,125.407
Marapi,"Bungo, Bongsu, Tuo, B and C Craters",2,1970,7,26,Historical Observations,1971,8,20,-0.38,100.474
Sorikmarapi,,2,1970,7,2,Historical Observations,,,,0.686,99.539
Lewotobi,Lewotobi Lakilaki,2,1970,7,2,Historical Observations,,,,-8.542,122.775
Sirung,,2,1970,7,2,Historical Observations,,,,-8.508,124.13
Soputan,,2,1970,2,16,Historical Observations,1970,5,26,1.112,124.737
Batur,SW flank (1963 vent),1,1970,1,5,Historical Observations,1970,1,15,-8.242,115.375
Lokon-Empung,Tompaluan,2,1969,11,27,Historical Observations,1970,12,26,1.358,124.792
Tangkuban Parahu,Kawah Ecoma,1,1969,7,20,Historical Observations,1969,10,21,-6.77,107.6
Kerinci,,2,1969,7,2,Historical Observations,1970,7,2,-1.697,101.264
Krakatau,Anak Krakatau,2,1969,7,2,,,,,-6.102,105.423
Slamet,,2,1969,6,23,Historical Observations,1969,8,16,-7.242,109.208
Ebulobo,,2,1969,2,27,Historical Observations,,,,-8.817,121.191
Iya,Crater II (upper SW flank),3,1969,1,27,Historical Observations,1969,1,30,-8.891,121.641
Marapi,Craters B and C,1,1968,12,16,,1968,12,16,-0.38,100.474
Lewotobi,Lewotobi Lakilaki,2,1968,11,28,Historical Observations,1969,2,2,-8.542,122.775
Talang,NE flank,2,1968,9,16,Historical Observations,1968,10,16,-0.979,100.681
Banua Wuhu,,0,1968,9,5,,1968,9,9,3.138,125.491
Awu,,2,1968,8,16,,1968,9,16,3.689,125.447
Soputan,,1,1968,7,16,Historical Observations,1968,8,16,1.112,124.737
Kelimutu,Tiwu Nua Muri,1,1968,6,3,Historical Observations,1968,7,29,-8.77,121.82
Nila,East flank,1,1968,5,7,Historical Observations,1968,6,16,-6.73,129.5
Kerinci,,2,1968,2,3,Historical Observations,1968,3,18,-1.697,101.264
Batur,SW flank (Batur III),2,1968,1,23,Historical Observations,1968,2,15,-8.242,115.375
Talang,NE flank,1,1968,1,14,Historical Observations,1968,1,14,-0.979,100.681
Kelut,Crater floor at foot of Kelut Peak,1,1967,12,11,Historical Observations,1967,12,11,-7.93,112.308
Karangetang,,2,1967,11,29,Historical Observations,1967,12,2,2.781,125.407
Kerinci,,2,1967,11,2,Historical Observations,,,,-1.697,101.264
Talang,NE flank (200 m below summit),1,1967,10,10,Historical Observations,1967,10,10,-0.979,100.681
Semeru,Jonggring Seloko,3,1967,8,31,Historical Observations,2009,3,15,-8.108,112.922
Tangkuban Parahu,Kawah Ecoma,1,1967,7,16,Historical Observations,1967,7,16,-6.77,107.6
Tambora,NE part of caldera floor,0,1967,7,2,Historical Observations,,,,-8.25,118
Slamet,,2,1967,5,7,Historical Observations,1967,7,16,-7.242,109.208
Marapi,"Crater C, Bungsu Crater",1,1967,4,16,Historical Observations,1967,7,16,-0.38,100.474
Kelut,,1,1967,2,18,Historical Observations,1967,2,18,-7.93,112.308
Merapi,Upper Batang breach (2600 m),2,1967,1,12,Historical Observations,1970,7,2,-7.54,110.446
Lokon-Empung,Tompaluan,2,1966,9,24,Historical Observations,1966,9,30,1.358,124.792
Awu,,4,1966,8,12,Historical Observations,1966,10,16,3.689,125.447
Slamet,,2,1966,7,2,Historical Observations,,,,-7.242,109.208
Kerinci,,2,1966,6,9,Historical Observations,1966,6,30,-1.697,101.264
Soputan,Kawah Soputan,3,1966,5,21,Historical Observations,1967,11,16,1.112,124.737
Batur,SW flank (west of 1965 vent),1,1966,4,28,Historical Observations,,,,-8.242,115.375
Kelut,,4,1966,4,26,Historical Observations,1966,4,27,-7.93,112.308
Rinjani,East side of Barujari (2250 m),1,1966,3,28,Historical Observations,1966,8,8,-8.42,116.47
Marapi,"B and C Craters, Kebun Bungo",1,1966,3,16,Historical Observations,1966,6,16,-0.38,100.474
Sangeang Api,,2,1966,2,28,Historical Observations,1966,11,16,-8.2,119.07
Sirung,,1,1965,11,2,Historical Observations,1965,11,2,-8.508,124.13
Tangkuban Parahu,,1,1965,10,16,Historical Observations,1965,10,16,-6.77,107.6
Rinjani,Gunung Barujari,0,1965,9,16,Historical Observations,,,,-8.42,116.47
Batur,SW flank (near Batur III),1,1965,8,18,Historical Observations,1965,12,16,-8.242,115.375
Lokon-Empung,Tompaluan,1,1965,7,10,Historical Observations,1965,7,10,1.358,124.792
Krakatau,Anak Krakatau,1,1965,7,2,Historical Observations,,,,-6.102,105.423
Sirung,,1,1965,5,7,Historical Observations,1965,5,18,-8.508,124.13
Karangetang,,2,1965,4,5,Historical Observations,1967,6,16,2.781,125.407
Tangkuban Parahu,,1,1965,2,16,Historical Observations,1965,3,16,-6.77,107.6
Dieng Volcanic Complex,Sileri Crater,1,1964,12,13,Historical Observations,1964,12,13,-7.2,109.879
Kerinci,,2,1964,7,8,Historical Observations,1964,7,8,-1.697,101.264
Nila,,1,1964,3,16,Historical Observations,1964,3,16,-6.73,129.5
Dempo,,2,1964,2,14,Historical Observations,1964,2,14,-4.016,103.121
Sirung,,1,1964,2,8,Historical Observations,1964,10,5,-8.508,124.13
Sangeang Api,Doro Api,2,1964,1,29,Historical Observations,1965,12,1,-8.2,119.07
Paluweh,Rokatenda (1928 crater),2,1963,12,31,Historical Observations,1966,3,16,-8.32,121.708
Lokon-Empung,Tompaluan,2,1963,12,17,Historical Observations,1964,4,16,1.358,124.792
Batur,"SW, W flanks (near Batur III, Butus)",2,1963,9,5,Historical Observations,1964,5,10,-8.242,115.375
Kerinci,,2,1963,7,16,Historical Observations,,,,-1.697,101.264
Talang,,2,1963,7,2,Historical Observations,,,,-0.979,100.681
Agung,,5,1963,2,18,Historical Observations,1964,1,27,-8.343,115.508
Gamalama,East flank,2,1962,12,31,Historical Observations,1963,1,2,0.8,127.33
Lokon-Empung,Tompaluan,1,1962,4,16,Historical Observations,1962,11,16,1.358,124.792
Karangetang,,2,1962,1,29,Historical Observations,1963,12,16,2.781,125.407
Karangetang,,2,1961,10,9,Historical Observations,1961,10,19,2.781,125.407
Tangkuban Parahu,,1,1961,7,16,Historical Observations,1961,8,1,-6.77,107.6
Lokon-Empung,Tompaluan,2,1961,5,19,Historical Observations,1961,12,16,1.358,124.792
Merapi,,3,1961,4,11,Historical Observations,1961,11,28,-7.54,110.446
Karangetang,,2,1961,2,28,Historical Observations,1961,4,16,2.781,125.407
Slamet,,2,1960,12,16,Historical Observations,1961,1,16,-7.242,109.208
Kerinci,,2,1960,7,16,Historical Observations,,,,-1.697,101.264
Sirung,,2,1960,3,13,Historical Observations,,,,-8.508,124.13
Krakatau,Anak Krakatau,2,1959,12,16,Historical Observations,1963,7,2,-6.102,105.423
Marapi,,1,1958,10,17,Historical Observations,1958,10,25,-0.38,100.474
Krakatau,Anak Krakatau,2,1958,10,2,Historical Observations,1959,6,25,-6.102,105.423
Slamet,,2,1958,9,13,Historical Observations,1958,11,5,-7.242,109.208
Mahawu,,2,1958,7,12,Historical Observations,1958,7,29,1.352,124.865
Sangeang Api,,1,1958,7,2,Historical Observations,,,,-8.2,119.07
Marapi,,1,1958,6,23,Historical Observations,1958,6,23,-0.38,100.474
Slamet,,2,1958,4,17,Historical Observations,1958,5,7,-7.242,109.208
Lokon-Empung,Tompaluan,2,1958,2,19,Historical Observations,1959,12,23,1.358,124.792
Sangeang Api,,1,1957,7,2,Historical Observations,,,,-8.2,119.07
Gede-Pangrango,,2,1957,3,13,Historical Observations,1957,3,13,-6.77,106.965
Slamet,,2,1957,2,8,Historical Observations,1957,2,8,-7.242,109.208
Tangkuban Parahu,Kawah Baru,1,1957,1,16,Historical Observations,1957,1,16,-6.77,107.6
Sangeang Api,,1,1956,12,16,Historical Observations,,,,-8.2,119.07
Tengger Caldera,Bromo,2,1956,6,16,Historical Observations,1956,7,16,-7.942,112.95
Dieng Volcanic Complex,Sileri Crater,1,1956,6,2,Historical Observations,1956,6,2,-7.2,109.879
Gede-Pangrango,,2,1956,4,28,Historical Observations,1956,4,28,-6.77,106.965
Kaba,,2,1956,3,22,Historical Observations,1956,3,28,-3.522,102.615
Raung,,3,1956,2,13,Historical Observations,1956,3,25,-8.119,114.056
Tengger Caldera,Bromo,2,1955,12,29,Historical Observations,1955,12,30,-7.942,112.95
Slamet,,2,1955,11,12,Historical Observations,1955,12,20,-7.242,109.208
Gede-Pangrango,,1,1955,7,21,,1955,8,2,-6.77,106.965
Sangeang Api,,1,1955,7,2,Historical Observations,,,,-8.2,119.07
Krakatau,Anak Krakatau,2,1955,2,11,Historical Observations,,,,-6.102,105.423
Raung,,2,1955,1,18,Historical Observations,1955,1,18,-8.119,114.056
Dieng Volcanic Complex,Candradimuka area,0,1954,12,6,Historical Observations,1954,12,6,-7.2,109.879
Sangeang Api,,2,1954,11,4,Historical Observations,,,,-8.2,119.07
Marapi,"Kepundan Bongsu, B and C Craters",2,1954,8,16,Historical Observations,1957,12,16,-0.38,100.474
Sangeang Api,,2,1954,4,26,Historical Observations,,,,-8.2,119.07
Soputan,NE flank (Aeseput),2,1953,11,16,Historical Observations,,,,1.112,124.737
Rinjani,Gunung Barujari,0,1953,10,15,Historical Observations,,,,-8.42,116.47
Krakatau,Anak Krakatau,2,1953,9,21,Historical Observations,1953,11,25,-6.102,105.423
Iya,,2,1953,9,4,Historical Observations,1953,9,5,-8.891,121.641
Slamet,,2,1953,8,16,Historical Observations,1953,10,16,-7.242,109.208
Karangetang,,2,1953,7,2,Historical Observations,,,,2.781,125.407
Sirung,,,1953,6,16,Historical Observations,,,,-8.508,124.13
Lamongan,,2,1953,4,4,,1953,6,16,-7.981,113.341
Dieng Volcanic Complex,,2,1953,3,24,Historical Observations,1953,3,25,-7.2,109.879
Sangeang Api,Doro Api,3,1953,3,19,Historical Observations,1953,5,15,-8.2,119.07
Krakatau,Anak Krakatau,2,1953,3,17,Historical Observations,1953,5,1,-6.102,105.423
Merapi,,2,1953,3,2,Historical Observations,1958,12,16,-7.54,110.446
Raung,,3,1953,1,31,Historical Observations,1953,4,15,-8.119,114.056
Krakatau,Anak Krakatau,2,1952,10,10,Historical Observations,1952,10,11,-6.102,105.423
Arjuno-Welirang,NW flank (Kawah Plupuh),0,1952,8,15,Historical Observations,,,,-7.733,112.575
Dieng Volcanic Complex,,1,1952,7,16,,,,,-7.2,109.879
Gamkonora,,2,1952,7,16,Historical Observations,1952,9,5,1.38,127.53
Tangkuban Parahu,Kawah Ecoma,1,1952,7,4,Historical Observations,1952,7,11,-6.77,107.6
Mahawu,,2,1952,7,2,Historical Observations,,,,1.352,124.865
Ijen,Kawah Ijen,1,1952,4,22,Historical Observations,1952,4,24,-8.058,114.242
Kaba,,2,1952,4,1,Historical Observations,1952,4,28,-3.522,102.615
Iliwerung,,1,1952,3,24,Historical Observations,,,,-8.53,123.57
Karangetang,"Craters I, II and III",2,1952,2,16,Historical Observations,1952,6,30,2.781,125.407
Kerinci,,2,1952,1,16,Historical Observations,1952,6,16,-1.697,101.264
Lewotolok,,2,1951,12,15,Historical Observations,,,,-8.274,123.508
Iliwerung,,2,1951,11,12,Historical Observations,1951,11,16,-8.53,123.57
Kelut,,4,1951,8,31,Historical Observations,1951,8,31,-7.93,112.308
Iliboleng,,2,1951,7,2,Historical Observations,,,,-8.342,123.258
Lokon-Empung,Tompaluan,3,1951,7,2,Historical Observations,1953,3,16,1.358,124.792
Gamkonora,,2,1951,7,2,Historical Observations,,,,1.38,127.53
Slamet,,2,1951,6,26,Historical Observations,1952,1,1,-7.242,109.208
Cereme,,2,1951,3,1,Historical Observations,1951,3,2,-6.895,108.408
Slamet,,2,1951,2,11,Historical Observations,,,,-7.242,109.208
Arjuno-Welirang,NW part of Gunung Welirang (2500 & 2700 m),2,1950,10,30,Historical Observations,,,,-7.733,112.575
Gamkonora,,2,1950,10,16,Historical Observations,,,,1.38,127.53
Marapi,"Kepundan Bongsu, Kuniang, Jinggo",2,1950,9,27,Historical Observations,1952,6,14,-0.38,100.474
Iliwerung,,2,1950,9,10,Historical Observations,1950,10,2,-8.53,123.57
Semeru,Jonggring Seloko,2,1950,7,23,Historical Observations,1964,12,16,-8.108,112.922
Krakatau,Anak Krakatau,2,1950,7,3,Historical Observations,1950,7,7,-6.102,105.423
Tengger Caldera,Bromo,2,1950,5,27,Historical Observations,1950,8,16,-7.942,112.95
Kaba,Kaba Vogelsang,1,1950,3,16,Historical Observations,1951,4,16,-3.522,102.615
Iliboleng,,2,1950,3,16,Historical Observations,1950,8,16,-8.342,123.258
Marapi,,2,1949,10,15,Historical Observations,1949,10,22,-0.38,100.474
Lokon-Empung,Tompaluan,1,1949,9,14,Historical Observations,,,,1.358,124.792
Karangetang,,2,1949,9,14,Historical Observations,,,,2.781,125.407
Iliboleng,,2,1949,6,12,Historical Observations,,,,-8.342,123.258
Krakatau,Anak Krakatau,2,1949,5,12,Historical Observations,,,,-6.102,105.423
Marapi,Kepundan Bongsu,2,1949,4,29,Historical Observations,1949,4,30,-0.38,100.474
Iliwerung,,2,1949,4,9,Historical Observations,1949,4,29,-8.53,123.57
Iliboleng,,2,1949,2,4,Historical Observations,,,,-8.342,123.258
Ruang,,2,1949,1,5,Historical Observations,1949,1,19,2.3,125.37
Gamkonora,,2,1949,0,0,Historical Observations,,,,1.38,127.53
Rinjani,NW flank of Gunung Barujari,0,1949,0,0,Historical Observations,1950,7,2,-8.42,116.47
Karangetang,,2,1948,12,0,Historical Observations,,,,2.781,125.407
Gede-Pangrango,Kawah Leutik (Kawah Ratu),2,1948,11,15,Historical Observations,1949,2,5,-6.77,106.965
Slamet,,2,1948,11,14,Historical Observations,1948,12,15,-7.242,109.208
Merapi,,2,1948,9,29,Historical Observations,1948,12,0,-7.54,110.446
Iliboleng,,2,1948,4,29,Historical Observations,,,,-8.342,123.258
Iliwerung,East flank (Iligripe),2,1948,4,7,Historical Observations,1948,11,26,-8.53,123.57
Tengger Caldera,Bromo,3,1948,2,15,Historical Observations,1948,4,25,-7.942,112.95
Karangetang,,2,1947,12,1,Historical Observations,1947,12,21,2.781,125.407
Gede-Pangrango,"Kawah Ratu?, Kawah Lanang",2,1947,9,2,Historical Observations,1948,1,28,-6.77,106.965
Soputan,NE flank (Aeseput),2,1947,8,22,Historical Observations,1947,8,27,1.112,124.737
Sirung,,2,1947,4,0,Historical Observations,1947,5,0,-8.508,124.13
Karangetang,,2,1947,2,9,Historical Observations,1947,2,9,2.781,125.407
Krakatau,Anak Krakatau,2,1946,12,26,Historical Observations,1947,8,7,-6.102,105.423
Semeru,Jonggring Seloko,2,1946,10,29,Historical Observations,1947,6,0,-8.108,112.922
Ruang,,,1946,10,13,,1946,10,15,2.3,125.37
Krakatau,Anak Krakatau,1,1946,7,25,Historical Observations,1946,7,25,-6.102,105.423
Semeru,Jonggring Seloko,2,1946,2,0,Historical Observations,1946,5,0,-8.108,112.922
Semeru,Jonggring Seloko,2,1945,6,12,Historical Observations,1945,6,18,-8.108,112.922
Krakatau,Anak Krakatau,2,1945,0,0,Historical Observations,,,,-6.102,105.423
Rinjani,NW flank of Barujari (Rombongan),2,1944,12,25,Historical Observations,1945,1,1,-8.42,116.47
Dieng Volcanic Complex,Sileri Crater,2,1944,12,4,Historical Observations,,,,-7.2,109.879
Iliboleng,,2,1944,8,0,Historical Observations,1944,10,0,-8.342,123.258
Raung,,2,1944,6,30,Historical Observations,1945,4,19,-8.119,114.056
Slamet,,2,1944,5,9,Historical Observations,1944,10,30,-7.242,109.208
Krakatau,Anak Krakatau,2,1944,0,0,Historical Observations,,,,-6.102,105.423
Dieng Volcanic Complex,Sileri Crater,1,1943,11,3,Historical Observations,,,,-7.2,109.879
Slamet,,2,1943,10,2,Historical Observations,1944,1,5,-7.242,109.208
Slamet,,,1943,3,18,,,,,-7.242,109.208
Raung,,2,1943,3,17,Historical Observations,1943,6,18,-8.119,114.056
Krakatau,Anak Krakatau,2,1943,0,0,Historical Observations,,,,-6.102,105.423
Marapi,"Kepundan Kuniang, Kepundan Jinggo",,1943,0,0,Historical Observations,,,,-0.38,100.474
Lokon-Empung,Tompaluan,2,1942,9,3,Historical Observations,,,,1.358,124.792
Papandayan,,1,1942,8,15,Historical Observations,1942,8,16,-7.32,107.73
Merapi,,2,1942,5,30,Historical Observations,1945,5,0,-7.54,110.446
Krakatau,Anak Krakatau,2,1942,1,29,Historical Observations,1942,1,30,-6.102,105.423
Raung,,2,1941,12,13,Historical Observations,,,,-8.119,114.056
Karangetang,,2,1941,10,30,Historical Observations,1941,10,30,2.781,125.407
Semeru,ESE flank (1400-1775 m),2,1941,9,21,Historical Observations,1942,2,0,-8.108,112.922
Ebulobo,,0,1941,8,23,Historical Observations,,,,-8.817,121.191
Iliwerung,,,1941,6,5,,,,,-8.53,123.57
Rinjani,Rinjani summit,,1941,5,30,,,,,-8.42,116.47
Krakatau,Anak Krakatau,2,1941,1,28,Historical Observations,1941,2,12,-6.102,105.423
Dempo,,2,1940,7,0,Historical Observations,,,,-4.016,103.121
Karangetang,,2,1940,6,20,Historical Observations,1940,8,23,2.781,125.407
Tengger Caldera,Bromo,2,1940,4,25,Historical Observations,1940,7,3,-7.942,112.95
Ruang,,,1940,4,0,,,,,2.3,125.37
Slamet,,2,1940,3,15,Historical Observations,1940,4,15,-7.242,109.208
Karangetang,,2,1940,3,1,Historical Observations,1940,3,9,2.781,125.407
Raung,,2,1940,0,0,Historical Observations,,,,-8.119,114.056
Dempo,,2,1939,12,19,Historical Observations,1940,2,21,-4.016,103.121
Lewotobi,Lewotobi Lakilaki,2,1939,12,17,Historical Observations,1940,4,21,-8.542,122.775
Merapi,,2,1939,12,13,Historical Observations,1940,9,0,-7.54,110.446
Slamet,,2,1939,12,4,Historical Observations,1939,12,4,-7.242,109.208
Kaba,"Kaba Baru, Kaba Lama",2,1939,11,19,Historical Observations,1941,3,14,-3.522,102.615
Dieng Volcanic Complex,Butak Petarangan,1,1939,10,13,Historical Observations,1939,10,15,-7.2,109.879
Dempo,,2,1939,7,18,Historical Observations,1939,7,30,-4.016,103.121
Tengger Caldera,Bromo,2,1939,6,24,Historical Observations,1939,7,0,-7.942,112.95
Perbakti-Gagak,Kawah Parabakti,1,1939,4,6,Historical Observations,,,,-6.75,106.7
Slamet,,2,1939,3,29,Historical Observations,1939,7,15,-7.242,109.208
Perbakti-Gagak,Kawah Parabakti,1,1938,12,0,Historical Observations,,,,-6.75,106.7
Gamalama,,2,1938,9,8,Historical Observations,1938,9,8,0.8,127.33
Raung,,2,1938,8,13,Historical Observations,1939,1,10,-8.119,114.056
Krakatau,Anak Krakatau,3,1938,7,4,Historical Observations,1940,7,2,-6.102,105.423
Kelimutu,,2,1938,5,0,Historical Observations,1938,6,0,-8.77,121.82
Ebulobo,,,1938,5,0,Historical Observations,1938,6,0,-8.817,121.191
Salak,Kawah Cikaluwung Putri,2,1938,1,31,Historical Observations,,,,-6.72,106.73
Kerinci,,2,1938,1,19,Historical Observations,1938,3,18,-1.697,101.264
Colo,Gunung Colo,1,1938,0,0,Historical Observations,,,,-0.162,121.601
Raung,,2,1937,10,27,Historical Observations,1937,11,27,-8.119,114.056
Kerinci,,2,1937,9,8,Historical Observations,,,,-1.697,101.264
Talakmau,,1,1937,9,8,,,,,0.079,99.98
Krakatau,Anak Krakatau,2,1937,8,6,Historical Observations,1937,11,23,-6.102,105.423
Cereme,Floor and north wall of East Crater,2,1937,6,24,Historical Observations,1938,1,7,-6.895,108.408
Slamet,,,1937,0,0,Historical Observations,,,,-7.242,109.208
"Telong, Bur ni",,,1937,0,0,Historical Observations,,,,4.769,96.821
Dempo,,2,1936,11,26,Historical Observations,1936,11,27,-4.016,103.121
Ijen,Kawah Ijen,2,1936,11,5,Historical Observations,1936,11,25,-8.058,114.242
Perbakti-Gagak,Cipanas Parabakti,1,1936,10,26,Historical Observations,1936,10,28,-6.75,106.7
Krakatau,Anak Krakatau,1,1936,10,13,Historical Observations,1936,11,0,-6.102,105.423
Kerinci,,2,1936,8,30,Historical Observations,1936,8,30,-1.697,101.264
Raung,,2,1936,8,22,Historical Observations,1936,12,11,-8.119,114.056
Kerinci,,2,1936,4,29,Historical Observations,1936,4,29,-1.697,101.264
Lewotobi,Lewetobi Perempuan,2,1935,12,0,Historical Observations,1935,12,25,-8.542,122.775
Karangetang,,2,1935,8,31,Historical Observations,,,,2.781,125.407
Tengger Caldera,Bromo,2,1935,7,0,Historical Observations,,,,-7.942,112.95
Perbakti-Gagak,Kawah Cibodas,1,1935,5,31,Historical Observations,,,,-6.75,106.7
Salak,Kawah Cikaluwung Putri,2,1935,2,0,Historical Observations,,,,-6.72,106.73
Krakatau,Anak Krakatau,2,1935,1,4,Historical Observations,1935,7,12,-6.102,105.423
Sirung,,2,1934,6,14,Historical Observations,1934,7,15,-8.508,124.13
Dempo,,2,1934,1,24,Historical Observations,1934,4,25,-4.016,103.121
Slamet,,,1934,0,0,,,,,-7.242,109.208
Raung,,2,1933,11,21,Historical Observations,1933,12,6,-8.119,114.056
Gamalama,,2,1933,11,12,Historical Observations,,,,0.8,127.33
Merapi,,2,1933,10,1,Historical Observations,1935,4,0,-7.54,110.446
Dukono,Malupang Magiwe and Malupang Warirang,3,1933,8,13,Historical Observations,2021,6,24,1.693,127.894
Suoh,Pematang Bata,4,1933,7,10,Historical Observations,1933,8,5,-5.25,104.27
Slamet,,1,1933,5,12,Historical Observations,1933,5,13,-7.242,109.208
Krakatau,Anak Krakatau,3,1932,11,14,Historical Observations,1934,6,9,-6.102,105.423
Gamalama,,2,1932,11,10,Historical Observations,1932,11,13,0.8,127.33
Merapi,,1,1932,11,0,Historical Observations,,,,-7.54,110.446
Slamet,,2,1932,7,1,Historical Observations,1932,9,10,-7.242,109.208
Lewotobi,Lewotobi Lakilaki,3,1932,5,23,Historical Observations,1933,12,26,-8.542,122.775
Nila,SE flank,2,1932,3,13,Historical Observations,,,,-6.73,129.5
Marapi,,2,1932,0,0,Historical Observations,,,,-0.38,100.474
Krakatau,Anak Krakatau,2,1931,9,23,Historical Observations,1932,2,17,-6.102,105.423
Awu,,2,1930,12,0,Historical Observations,1931,12,0,3.689,125.447
Merapi,,3,1930,11,25,Historical Observations,1931,9,0,-7.54,110.446
Karangetang,,2,1930,11,0,Historical Observations,,,,2.781,125.407
Lokon-Empung,Tompaluan,2,1930,8,0,Historical Observations,,,,1.358,124.792
Tengger Caldera,Bromo,2,1930,5,30,Historical Observations,1930,7,0,-7.942,112.95
Marapi,,2,1930,4,9,Historical Observations,1930,12,7,-0.38,100.474
Slamet,,2,1930,4,2,Historical Observations,1930,4,13,-7.242,109.208
Karangetang,Crater IV,2,1930,2,4,Historical Observations,1930,2,6,2.781,125.407
Tengger Caldera,Bromo,2,1929,8,7,Historical Observations,1929,9,8,-7.942,112.95
Marapi,Kepundan Bongsu,2,1929,6,22,Historical Observations,1929,6,22,-0.38,100.474
Slamet,,2,1929,6,6,Historical Observations,1929,6,15,-7.242,109.208
Tangkuban Parahu,Kawah Ecoma,0,1929,5,20,Historical Observations,1929,5,20,-6.77,107.6
Raung,,2,1929,4,27,Historical Observations,,,,-8.119,114.056
Perbakti-Gagak,Cibeureum West,1,1929,0,0,Historical Observations,,,,-6.75,106.7
Tengger Caldera,Bromo,2,1928,12,16,Historical Observations,,,,-7.942,112.95
Raung,,2,1928,11,0,Historical Observations,,,,-8.119,114.056
Paluweh,Rokatenda,3,1928,8,4,Historical Observations,1928,9,25,-8.32,121.708
Dieng Volcanic Complex,Butak Petarangan (Timbang),2,1928,5,13,Historical Observations,,,,-7.2,109.879
Slamet,,2,1928,3,20,Historical Observations,1928,5,12,-7.242,109.208
Tengger Caldera,Bromo,2,1928,3,15,Historical Observations,1928,7,0,-7.942,112.95
Iliwerung,Iliwerung,2,1928,0,0,Historical Observations,,,,-8.53,123.57
Krakatau,Anak Krakatau,2,1927,12,29,Historical Observations,1930,8,15,-6.102,105.423
Raung,Central cone and NW crater wall,2,1927,8,2,Historical Observations,1928,3,0,-8.119,114.056
Slamet,,2,1927,2,27,Historical Observations,1927,2,27,-7.242,109.208
Marapi,Kepundan Bongsu,2,1927,2,5,Historical Observations,1927,8,3,-0.38,100.474
Iliboleng,,2,1927,0,0,Historical Observations,,,,-8.342,123.258
Sangeang Api,,2,1927,0,0,Historical Observations,,,,-8.2,119.07
Sirung,,2,1927,0,0,,,,,-8.508,124.13
Slamet,,2,1926,11,23,Historical Observations,1926,11,30,-7.242,109.208
Karangetang,,2,1926,10,0,Historical Observations,,,,2.781,125.407
Batur,SW flank below Batur III,2,1926,8,2,Historical Observations,1926,9,21,-8.242,115.375
Gamkonora,,1,1926,6,0,Historical Observations,,,,1.38,127.53
Dempo,,2,1926,4,22,Historical Observations,1926,4,24,-4.016,103.121
Tangkuban Parahu,Kawah Ecoma,1,1926,3,1,Historical Observations,1926,7,9,-6.77,107.6
Marapi,,0,1925,4,0,Historical Observations,,,,-0.38,100.474
Batur,Batur II,2,1925,1,5,Historical Observations,1925,1,5,-8.242,115.375
Iliboleng,,2,1925,0,0,Historical Observations,,,,-8.342,123.258
"Telong, Bur ni",,2,1924,12,7,,,,,4.769,96.821
Ebulobo,,2,1924,11,0,Historical Observations,,,,-8.817,121.191
Merapi,,1,1924,9,10,Historical Observations,1924,9,12,-7.54,110.446
Raung,,2,1924,8,20,,,,,-8.119,114.056
Karangetang,,2,1924,5,0,Historical Observations,,,,2.781,125.407
Tandikat-Singgalang,Tandikat,1,1924,4,0,Historical Observations,1924,4,0,-0.39,100.331
Batur,Batur II,2,1924,3,0,Historical Observations,1924,3,0,-8.242,115.375
Raung,,2,1924,2,0,Historical Observations,,,,-8.119,114.056
Soputan,NE flank (Aeseput),2,1923,11,27,Historical Observations,1924,1,18,1.112,124.737
Merapi,,,1923,9,0,,1923,11,0,-7.54,110.446
Kerinci,,1,1923,9,0,Historical Observations,1923,9,0,-1.697,101.264
Slamet,,2,1923,6,2,Historical Observations,1923,6,2,-7.242,109.208
Perbakti-Gagak,Kawah Cibodas,1,1923,6,0,Historical Observations,,,,-6.75,106.7
Dempo,,1,1923,5,19,Historical Observations,1923,5,19,-4.016,103.121
Gamalama,,2,1923,4,13,Historical Observations,1923,5,6,0.8,127.33
Papandayan,"Kawah Baru, Kawah Nangklak",1,1923,3,11,Historical Observations,1925,3,9,-7.32,107.73
Batur,Batur II,2,1923,0,0,Historical Observations,,,,-8.242,115.375
Batur,,2,1922,8,30,Historical Observations,,,,-8.242,115.375
Awu,,0,1922,6,20,Historical Observations,1922,9,0,3.689,125.447
Karangetang,Crater IV,2,1922,5,4,Historical Observations,1922,12,13,2.781,125.407
Merapi,,1,1922,2,18,Historical Observations,1922,8,8,-7.54,110.446
Tengger Caldera,Bromo,2,1922,2,5,Historical Observations,1922,6,20,-7.942,112.95
Serua,Summit and south flank,2,1921,9,18,Historical Observations,,,,-6.312,130.017
Tengger Caldera,Bromo,2,1921,6,0,Historical Observations,1921,10,17,-7.942,112.95
Sumbing,,2,1921,5,23,Historical Observations,1921,6,3,-2.414,101.728
Kerinci,,2,1921,5,0,Historical Observations,1921,6,0,-1.697,101.264
Dempo,,1,1921,4,0,Historical Observations,1921,4,0,-4.016,103.121
Karangetang,Crater V,2,1921,3,0,Historical Observations,1921,6,0,2.781,125.407
Raung,1913 cone,2,1921,2,14,Historical Observations,1921,4,0,-8.119,114.056
Awu,,0,1921,2,0,Historical Observations,1921,10,1,3.689,125.447
Batur,SW flank (Batur II),2,1921,1,29,Historical Observations,1921,4,17,-8.242,115.375
Lewotobi,Lewotobi Perempuan,2,1921,1,1,Historical Observations,1921,12,20,-8.542,122.775
